signal,rate_beta,rate_beta_t,pre_mean,pre_t,post_mean,post_t,n_pre,n_post,decay,rotated,pub_year,is_tstat,cat_econ,cat_data,mkt_beta,pre_vol,post_mean_2022,n_2022,post_mean_2023,n_2023,post_mean_2024,n_2024,real_beta,bei_beta,nom_beta_0321
IdioVol3F,-0.075216000814333,-4.407145005660919,0.0066790512869809,1.7139123443983468,0.0031573021150248,0.3064961985071268,384,36,-0.0035217491719561,False,2006,3.1,volatility,Price,-0.9599928494703074,0.0763645476850832,0.0325511880481563,12,-0.0206627203985518,12,-0.0024165613045301,12,0.007851479327486,-0.1171392644841378,-0.0425913438531502
Mom12mOffSeason,-0.0261420990258157,-1.5765887893441777,0.010933078453189,2.76776721810021,0.0220741445856158,1.46971209557331,384,36,0.0111410661324268,False,2008,4.2,other,Price,-0.4384565413376775,0.0774066933172577,0.057547114067808,12,0.0050866622354267,12,0.0035886574536129,12,0.0169284133336742,-0.1160209462473189,-0.0365557582990065
Mom6m,-0.0323930254159155,-1.593072472860046,0.0068548599223546,1.6415844956433936,0.0220611904819627,1.5084858397722465,384,36,0.0152063305596081,False,1993,2.44,momentum,Price,-0.3775901303489917,0.0818278150778573,0.0412242771820639,12,0.0176626436466571,12,0.0072966506171671,12,0.0053612769611972,-0.1115195188713526,-0.0410902342393602
Mom12m,-0.0322197395166708,-1.3773668288124836,0.0049161945463109,1.1335786424242311,0.0370816138545457,2.2588526785062477,384,36,0.0321654193082347,False,1993,3.74,momentum,Price,-0.3584985203141702,0.084985144666892,0.058115701940396,12,0.0265530701401672,12,0.0265760694830738,12,0.0154138385834285,-0.1073962962574406,-0.034177324408615
ForecastDispersion,-0.0423894829857901,-3.663628832674706,0.0045189262416805,1.8964659893207747,0.0075794508660783,1.1727312485998254,384,36,0.0030605246243977,False,2002,2.88,volatility,Analyst,-0.5439373952518398,0.0466934331107292,0.02409603056758,12,0.0023024041106768,12,-0.0036600820800217,12,-0.0082838403103227,-0.102369962418239,-0.0459935970048249
VolSD,-0.0316473127784741,-3.3575850371556504,8.306723747947659e-05,0.0438063361359232,-0.0008818576234149,-0.1614275814103652,384,36,-0.0009649248608944,False,2001,3.56,liquidity,Trading,-0.6752389442622357,0.0371585234676506,0.0003112686475755,12,-0.0018391954310512,12,-0.001117646086769,12,-0.0315122732827038,-0.0967151507213327,-0.057165000430581
FR,-0.0363629225931933,-4.340817010157877,-0.003363191086285,-1.753039796481399,0.0025467086839427,0.4237058917887297,384,36,0.0059098997702277,False,2006,,composite accounting,Accounting,-0.355141416057514,0.0375945923665171,0.0138632101342263,12,-0.0106468060445863,12,0.0044237219621882,12,-0.0112266157051015,-0.0912287933593602,-0.0427889112384305
OperProfRD,-0.0409461914420235,-3.745116166099343,0.0072197664113508,3.0905676521393075,0.0072414190023367,0.6473158389071012,384,36,2.1652590985942084e-05,False,2016,1.84,profitability,Accounting,-0.456101450230032,0.0457773348081291,-0.0077249828847378,12,0.0093951453594029,12,0.020054094532345,12,-0.0330769691836007,-0.085932153652992,-0.0542474554899615
Mom6mJunk,-0.0440009782383463,-2.658869557046086,0.0135897523558904,3.4639905644222764,0.0070291593385462,0.7673667443591115,384,36,-0.0065605930173441,False,2007,4.29,momentum,Price,-0.5919344602409944,0.0768777128774168,0.024827627889108,12,-0.0219848624979755,12,0.0182447126245062,12,-0.0296773261862114,-0.0847440196476166,-0.0508216817586279
NetEquityFinance,-0.0255804027266421,-2.0702058668671914,0.0059495671492448,2.136033625229914,0.0273813310153662,2.5973378710257378,384,36,0.0214317638661213,False,2006,3.82,external financing,Accounting,-0.5127581949652067,0.0545811771273268,0.0432085211923231,12,0.024795360043063,12,0.0141401118107124,12,0.0173278057365822,-0.0785026072327715,-0.0206654658293058
